TIPO_PRODUTO;NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO
"MEDICAMENTO";"LISINOPRIL";"20/01/2005";"GEN?RICO";154980008;"01/01/2010";"25351013347200314";"ANTI-HIPERTENSIVOS SIMPLES";"05192534000180 - BRITON LABORATORIES DO BRASIL LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISINOPRIL";"20/08/2007";"GEN?RICO";151670025;"01/08/2027";"25351193355200688";"ANTI-HIPERTENSIVOS SIMPLES";"04301884000175 - AUROBINDO PHARMA IND?STRIA FARMAC?UTICA LIMITADA";"V?LIDO";"LISINOPRIL"
"MEDICAMENTO";"LISINOPRIL";"22/06/2015";"GEN?RICO";183260198;"01/09/2027";"25351680355201439";"ANTI-HIPERTENSIVOS";"10588595001092 - SANOFI MEDLEY FARMAC?UTICA LTDA.";"V?LIDO";"LISINOPRIL"
"MEDICAMENTO";"LISINOPRIL + HIDROCLOROTIAZIDA";"11/05/2000";"SIMILAR";104971180;"01/05/2005";"250000009539921";"ANTI-HIPERTENSIVOS";"60665981000118 - UNI?O QU?MICA FARMAC?UTICA NACIONAL S/A";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISINOPRIL + HIDROCLOROTIAZIDA";"26/10/2001";"SIMILAR";103920048;"01/05/2005";"250000185469905";"HIPERTENSOR";"30222814000131 - VITAMEDIC INDUSTRIA FARMACEUTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISINOPRIL + HIDROCLOROTIAZIDA";"12/04/2002";"GEN?RICO";112130292;"01/04/2007";"253510053400240";"ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS";"53162095000106 - BIOSINT?TICA FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISINOPRIL + HIDROCLOROTIAZIDA";"24/02/2003";"GEN?RICO";100890294;"01/02/2008";"25351193342200285";"ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS";"33069212000184 - MERCK S/A";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISINOPRIL DIHIDRATADO + HIDROCLOROTIAZIDA";"04/06/2001";"SIMILAR";103700331;"01/05/2006";"250000103089763";"ANTI-HIPERTENSIVOS";"17159229000176 - LABORAT?RIO TEUTO BRASILEIRO S/A";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISINOPRIL-DOXAPRIL";"17/04/2001";"SIMILAR";100890272;"01/04/2005";"253510067150054";"ANTI-HIPERTENSIVOS";"33069212000184 - MERCK S/A";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISINORETIC";"11/04/2002";"SIMILAR";100470364;"01/04/2012";"253510218400011";"ANTI-HIPERTENSIVOS";"61286647000116 - SANDOZ DO BRASIL IND?STRIA FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISINOVIL";"15/08/2001";"SIMILAR";100470326;"01/08/2026";"253510225860014";"ANTI-HIPERTENSIVOS SIMPLES";"61286647000116 - SANDOZ DO BRASIL IND?STRIA FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISIPET";"03/08/1979";;101810484;"01/08/2004";"2599100759777";"PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS";"50929710000179 - MEDLEY IND?STRIA FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISIPRESS";"19/01/2005";"SIMILAR";154980009;"01/01/2010";"25351023143200391";"ANTI-HIPERTENSIVOS SIMPLES";"05192534000180 - BRITON LABORATORIES DO BRASIL LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISITOM";"31/05/2000";"SIMILAR";124510016;"01/05/2005";"250000453739953";"ANTI-HIPERTENSIVOS";"67952606000106 - TOMNUS QU?MICA E FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISOCLOR";"21/06/2001";"SIMILAR";104650320;"01/06/2011";"250000117829730";"ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS";"29785870000103 - LABORAT?RIO NEO QU?MICA COM?RCIO E IND?STRIA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISOCLOR";"27/12/2010";;172870145;"01/06/2011";"25351259670201019";"ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS";"02932074000191 - HYPERA S.A.";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISODERME";"16/04/2001";"SIMILAR";105710123;"01/04/2016";"250000223329401";"HORMONIOS CORTICOSTEROIDES";"18324343000177 - BELFAR LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISODREN";"22/09/2003";"NOVO";101800119;"01/03/2023";"2500101586584";"ANTINEOPLASICOS CITOTOXICOS";"56998982000107 - BRISTOL-MYERS SQUIBB FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISODREN";"21/01/2019";"NOVO";164250003;"01/03/2028";"25351679566201847";"ANTINEOPLASICOS CITOTOXICOS";"07591326000180 - MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA";"V?LIDO";"MITOTANO"
"MEDICAMENTO";"LISOFENICOL";"22/05/2003";"SIMILAR";105500161;"01/05/2008";"25351202182200272";"ASSOCIACOES ANTIBIOTICA E ENZIMAS";"48396378000182 - UCI - FARMA IND?STRIA FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISOMUC";"16/09/2013";"SIMILAR";103850109;"01/09/2028";"25351268805201027";"OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO";"83874628000143 - LABORAT?RIO FARMAC?UTICO ELOFAR LTDA";"V?LIDO";"ACEBROFILINA"
"MEDICAMENTO";"LISON";"09/09/2013";"FITOTER?PICO";115600176;"01/09/2028";"25351531031200990";"COLAGOGOS, COLERETICOS E HEPATOPROTETORES + FITOTERAPICO SIMPLES";"17562075000169 - CIFARMA CIENT?FICA FARMAC?UTICA LTDA";"V?LIDO";"SILYBUM MARIANUM (L.) GAERTN"
"MEDICAMENTO";"LISOPRESS";"30/10/2003";"SIMILAR";105500171;"01/10/2008";"250000104739770";"ANTI-HIPERTENSIVOS";"48396378000182 - UCI - FARMA IND?STRIA FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISOPRIL";"19/12/2000";"SIMILAR";104650309;"01/12/2010";"250000209089767";"ANTI-HIPERTENSIVOS";"29785870000103 - LABORAT?RIO NEO QU?MICA COM?RCIO E IND?STRIA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISOTOX";"10/05/1999";"SIMILAR";115600011;"01/05/2004";"250000182839990";"HEPATOPROTETORES E LIPOTROPICOS";"17562075000169 - CIFARMA CIENT?FICA FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISOVEN";"31/01/1996";"SIMILAR";100820122;"01/01/2006";"250000214959421";"ANTI-HIPERTENSIVOS SIMPLES";"60499639000195 - ABBOTT PRODUTOS PARA SA?DE LTDA.";"V?LIDO";"CAPTOPRIL"
"MEDICAMENTO";"LISPELIN";"29/03/2010";"SIMILAR";125680216;"01/03/2015";"25351617267200925";"ANTIULCEROSOS";"73856593000166 - PRATI DONADUZZI & CIA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISTO";"09/02/2015";"SIMILAR";101740020;"01/02/2020";"25351331794201413";"ANTIEMETICOS E ANTINAUSEANTES";"44211936000137 - AVERT LABORAT?RIOS LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LISTO";"21/08/2017";"SIMILAR";109740240;"01/02/2025";"25351311426201721";"ANTIEMETICOS E ANTINAUSEANTES";"49475833000106 - BIOLAB SANUS FARMAC?UTICA LTDA";"V?LIDO";"CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO +  CLORIDRATO DE ONDANSETRONA"
"MEDICAMENTO";"LISTRIL";"03/05/2002";"SIMILAR";105250009;"01/05/2012";"253510164720161";"ANTI-HIPERTENSIVOS SIMPLES";"33078528000132 - TORRENT DO BRASIL LTDA";"V?LIDO";"LISINOPRIL"
"MEDICAMENTO";"LITANE";"31/12/2018";"FITOTER?PICO";114620012;"01/12/2028";"25351326865201577";"OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO";"17440261000125 - MYRALIS IND?STRIA FARMAC?UTICA LTDA";"V?LIDO";"PELARGONIUM SIDOIDES DC."
"MEDICAMENTO";"LITCAR";"23/11/2015";"SIMILAR";194270043;"01/11/2020";"25351667740201485";"ANTIDEPRESSIVOS";"14806008000154 - MOMENTA FARMAC?UTICA LTDA.";"CADUCO/CANCELADO";
"MEDICAMENTO";"LITERATA";"26/04/2021";"SIMILAR";102980556;"01/04/2031";"25351093883201529";"ANTIDEPRESSIVOS";"44734671000151 - CRIST?LIA PRODUTOS QU?MICOS FARMAC?UTICOS LTDA.";"V?LIDO";"CARBONATO DE L?TIO"
"MEDICAMENTO";"LITHIUM NUTRIESSENCE";"02/01/2006";"ESPEC?FICO";160300001;"01/12/2010";"25351396496200570";"VITAMINAS E SUPLEMENTOS MINERAIS";"05512481000138 - LABORATORIO LAECCO COSMIATRIA BIOCELULAR LTDA - ME";"CADUCO/CANCELADO";
"MEDICAMENTO";"LITICARB";"13/12/1995";"SIMILAR";104970192;"01/12/2005";"250000145129429";"OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO";"60665981000118 - UNI?O QU?MICA FARMAC?UTICA NACIONAL S/A";"CADUCO/CANCELADO";
"MEDICAMENTO";"LITIOCAR";"23/04/2002";"SIMILAR";112130039;"01/08/2006";"2599201656271";"ANTIDEPRESSIVOS";"53162095000106 - BIOSINT?TICA FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LITOCIT";"07/11/1996";"ESPEC?FICO";101180128;"01/11/2026";"250000280239652";"OUTROS PRODUTOS COM ACAO NO TRATO URINARIO";"62462015000129 - APSEN FARMACEUTICA S/A";"V?LIDO";"CITRATO DE POT?SSIO MONOIDRATADO"
"MEDICAMENTO";"LITRACUR";"23/04/2001";"SIMILAR";120690016;"01/11/2003";"2502500429197";"RELAXANTES MUSCULARES";"94869054000131 - LABORAT?RIOS LIBRA DO BRASIL LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LITREXATE";"27/06/2001";"SIMILAR";120690010;"01/12/2026";"2502500051294";"ANTINEOPLASICO";"94869054000131 - LABORAT?RIOS LIBRA DO BRASIL LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LITRIAXONA";"03/01/1994";"SIMILAR";120690002;"01/01/2014";"2502500478193";"ANTIBIOTICOS SISTEMICOS SIMPLES";"94869054000131 - LABORAT?RIOS LIBRA DO BRASIL LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LIVAH";"10/05/2021";"SIMILAR";103900214;"01/05/2031";"25351103920202162";"OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA";"33349473000158 - FARMOQU?MICA S/A";"V?LIDO";"TIBOLONA"
"MEDICAMENTO";"LIVALO";"17/09/2012";"NOVO";112600187;"01/09/2027";"25351609546201146";"ANTILIPEMICOS";"43940618000144 - ELI LILLY DO BRASIL LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LIVALO";"06/12/2021";"NOVO";109740346;"01/09/2032";"25351373964202158";"ANTILIPEMICOS";"49475833000106 - BIOLAB SANUS FARMAC?UTICA LTDA";"V?LIDO";"PITAVASTATINA C?LCICA"
"MEDICAMENTO";"LIVAST";"18/08/1999";"SIMILAR";101550212;"01/08/2004";"250000209139969";"ANTILIPEMICOS";"60726692000181 - MARJAN IND?STRIA E COM?RCIO LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LIVEPAX";"12/08/2013";"SIMILAR";105730453;"01/08/2028";"25351488773201269";"ANTIBIOTICOS SISTEMICOS SIMPLES";"60659463002992 - ACH? LABORAT?RIOS FARMAC?UTICOS S.A";"V?LIDO";"LEVOFLOXACINO"
"MEDICAMENTO";"LIVIAL";"05/02/1998";"NOVO";101710072;"01/12/2029";"2500101700885";"OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA";"03560974000118 - MERCK SHARP & DOHME FARMACEUTICA LTDA.";"V?LIDO";"TIBOLONA"
"MEDICAMENTO";"LIVIDEX";"07/06/2021";"SIMILAR";103900215;"01/06/2031";"25351596152201601";"ANTI-HISTAMINICOS SISTEMICOS";"33349473000158 - FARMOQU?MICA S/A";"V?LIDO";"DESLORATADINA"
"MEDICAMENTO";"LIVIOSIN";"02/02/2000";"SIMILAR";100920034;"01/02/2005";"250000216359901";"ANTIACIDO";"92928951000143 - LABORATORIO INDUSTRIAL FARMAC?UTICO LIFAR LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LIVIPARK";"13/09/2010";"SIMILAR";100470483;"01/09/2020";"25351353138200913";"ANTIPARKINSONIANOS";"61286647000116 - SANDOZ DO BRASIL IND?STRIA FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LIVOLON";"15/09/2000";"SIMILAR";109740116;"01/09/2020";"253510001220020";"COADJUVANTE NO TRATAMENTO DO CLIMATERIO";"49475833000106 - BIOLAB SANUS FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LIVRADOR";"18/02/2000";"SIMILAR";105820010;"01/02/2005";"250000216829983";"ANALGESICOS NAO NARCOTICOS";"06600779000162 - LABORATORIO INDUSTRIAL FARMACEUTICO ROCHA LTDA.";"CADUCO/CANCELADO";
"MEDICAMENTO";"LIVRADOR";"19/04/2000";"SIMILAR";105820011;"01/04/2005";"250000216879905";"ANALGESICOS NAO NARCOTICOS";"06600779000162 - LABORATORIO INDUSTRIAL FARMACEUTICO ROCHA LTDA.";"CADUCO/CANCELADO";
"MEDICAMENTO";"LIVT?S";"08/04/2013";"FITOTER?PICO";104730039;"01/04/2028";"25351454700201111";"EXPECTORANTES SIMPLES";"92762277000170 - VIDORA FARMAC?UTICA LTDA";"V?LIDO";"MIKANIA GLOMERATA SPRENG."
"MEDICAMENTO";"LIZBI?";"09/08/2021";"SIMILAR";103110182;"01/08/2031";"25351550360201836";"ANTIBIOTICOS SISTEMICOS SIMPLES";"01571702000198 - HALEX ISTAR IND?STRIA FARMAC?UTICA SA";"V?LIDO";"LINEZOLIDA"
"MEDICAMENTO";"LIZRED";"17/06/2019";"GEN?RICO";151430045;"01/06/2029";"25351725354201768";"ANTIBIOTICOS SISTEMICOS SIMPLES";"03978166000175 - DR. REDDYS FARMAC?UTICA DO BRASIL LTDA";"V?LIDO";"LINEZOLIDA"
"MEDICAMENTO";"LIZRED";"13/04/2020";"SIMILAR";151430051;"01/04/2030";"25351255241201791";"ANTIBACTERIANOS PARA USO SIST?MICO + ANTIBIOTICOS SISTEMICOS SIMPLES + OUTROS ANTIBACTERIANOS + OUTRO";"03978166000175 - DR. REDDYS FARMAC?UTICA DO BRASIL LTDA";"V?LIDO";"LINEZOLIDA"
"MEDICAMENTO";"LIZZY";"24/05/2010";"SIMILAR";100470478;"01/05/2025";"25351181847200971";"ANTICONCEPCIONAIS";"61286647000116 - SANDOZ DO BRASIL IND?STRIA FARMAC?UTICA LTDA";"V?LIDO";"ETINILESTRADIOL +  GESTODENO"
"MEDICAMENTO";"LOBEAT";"02/01/2017";"SIMILAR";105530378;"01/01/2027";"25351387592201680";"ANTI-HIPERTENSIVOS";"56998701000116 - ABBOTT LABORAT?RIOS DO BRASIL LTDA";"V?LIDO";"CLORIDRATO DE NEBIVOLOL"
"MEDICAMENTO";"LOBIVON";"11/04/2016";"SIMILAR";109740233;"01/04/2026";"25351911679201681";"ANTI-HIPERTENSIVOS";"49475833000106 - BIOLAB SANUS FARMAC?UTICA LTDA";"V?LIDO";"CLORIDRATO DE NEBIVOLOL"
"MEDICAMENTO";"LOCABIOTAL";"20/02/1963";"NOVO";112780049;"01/02/2018";"2599201297062";"OUTROS ANTIBIOTICOS NAO CLASSIFICADOS NOS GRUPOS ANTERIORES";"42374207000176 - LABORAT?RIOS SERVIER DO BRASIL LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LOCANID";"19/08/2003";"SIMILAR";109740178;"01/08/2013";"25351013663200396";"GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.";"49475833000106 - BIOLAB SANUS FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LOCERYL";"11/04/2000";"NOVO";129160036;"01/08/2029";"2500001386991";"ANTIMICOTICOS PARA USO TOPICO";"00317372000146 - GALDERMA BRASIL LTDA";"V?LIDO";"AMOROLFINA"
"MEDICAMENTO";"LOCOID";"28/01/2000";"NOVO";100430682;"01/01/2010";"250000216769981";"GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.";"61190096000192 - EUROFARMA LABORAT?RIOS S.A.";"CADUCO/CANCELADO";
"MEDICAMENTO";"LOCORTEN";"01/11/1999";"NOVO";100680090;"01/10/2009";"2599200174165";"GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA";"56994502000130 - NOVARTIS BIOCIENCIAS S.A";"CADUCO/CANCELADO";
"MEDICAMENTO";"LOCORTEN-VIOFORMIO";"29/11/2002";"NOVO";100680078;"01/02/2013";"2599200174365";"GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA";"56994502000130 - NOVARTIS BIOCIENCIAS S.A";"CADUCO/CANCELADO";
"MEDICAMENTO";"LODARZA HCT";"18/03/2019";"GEN?RICO";100890409;"01/03/2029";"25351024830201313";"AGENTES BETABLOQUEADORES E OUTROS ANTI-HIPERTENSIVOS";"33069212000184 - MERCK S/A";"CADUCO/CANCELADO";
"MEDICAMENTO";"LODINA";"30/11/2015";"SIMILAR";178170814;"01/11/2025";"25351310659201515";"MEDICAMENTOS COM ACAO NO APARELHO VISUAL";"61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.";"V?LIDO";"OLOPATADINA"
"MEDICAMENTO";"LODIPEN";"16/08/2001";"SIMILAR";104080033;"01/07/2011";"250000230779602";"ANTIANGINOSOS E VASODILATADORES";"46385514000103 - ROYTON QU?MICA FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LOETTE";"26/01/2005";"NOVO";121100262;"01/01/2010";"25351250160200481";"ANTICONCEPCIONAIS";"61072393000133 - WYETH IND?STRIA FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LOFERT";"12/06/2017";"SIMILAR";115600193;"01/06/2027";"25351158803201598";"ANTICONCEPCIONAIS";"17562075000169 - CIFARMA CIENT?FICA FARMAC?UTICA LTDA";"V?LIDO";"ETINILESTRADIOL +  LEVONORGESTREL"
"MEDICAMENTO";"LOGAT";"09/05/1988";"SIMILAR";100330022;"01/08/2012";"2500100003481";"ANTIULCEROSOS";"61230314000175 - LIBBS FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LOJUXTA?";"07/12/2020";"NOVO";175040001;"01/12/2023";"25351557900201811";"OUTROS AGENTES MODIFICADORES DE LIP?DEOS";"14555259000103 - AMRYT BRASIL COMERCIO E IMPORTACAO DE MEDICAMENTOS LTDA";"V?LIDO";"MESILATO DE LOMITAPIDA"
"MEDICAMENTO";"LOMAFRIL";"19/03/2002";"SIMILAR";103700355;"01/03/2007";"253510265170124";"ANTIDEPRESSIVOS";"17159229000176 - LABORAT?RIO TEUTO BRASILEIRO S/A";"CADUCO/CANCELADO";
"MEDICAMENTO";"LOMBALGINA";"30/03/2001";"SIMILAR";104650191;"01/07/2012";"250000353259631";"ANTINFLAMATORIOS";"29785870000103 - LABORAT?RIO NEO QU?MICA COM?RCIO E IND?STRIA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LOMBALGINA";"13/12/2010";;172870128;"01/07/2012";"25351275048201000";"ANTINFLAMATORIOS";"02932074000191 - HYPERA S.A.";"CADUCO/CANCELADO";
"MEDICAMENTO";"LOMBALGINA";"06/02/2012";;155840243;"01/07/2017";"25351541572201174";"ANTINFLAMATORIOS";"05161069000110 - BRAINFARMA IND?STRIA QU?MICA E FARMAC?UTICA S.A";"CADUCO/CANCELADO";
"MEDICAMENTO";"LOMDOR";"31/01/2002";"SIMILAR";105040021;"01/05/2018";"250000031749274";"ANALGESICOS NAO NARCOTICOS";"19791813000175 - LABORAT?RIOS OS?RIO DE MORAES LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";"LOMECAN";"28/01/2019";"SIMILAR";110130285;"01/01/2029";"25351181800201809";"ANTIMICOTICOS PARA USO TOPICO";"44363661000157 - GLENMARK FARMAC?UTICA LTDA";"V?LIDO";"CLOTRIMAZOL"
